,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
12,8,8,6.6310832546539835,0.03126030542803097,0.4763107728563063,-0.3822753618752303,-0.2411579440037272,-0.062074934244422134,-0.01631920829478793,-0.47536072697539095,-0.443130518857871,-0.01961869849735535,-0.20884375268592176,-0.18698192022699422,0.08274136444303212,-0.1953021701218669,0.1830637319276569
13,8,6,1.6896958364551973,0.01643235439906002,0.6663295894652734,0.10662423772023769,0.06881670938308687,0.41174490057459057,0.2604400774983847,-0.10778765365149093,0.336644347249057,0.09386119362483511,0.38074583062264933,0.3524968594161198,0.5247247478732049,0.24283112503106752,0.18496291919901572
14,6,9,2.065823616800535,0.052550687584750684,0.8309932298479351,0.38492282842972014,-0.06218633397112052,0.1499305301584638,0.2453238886748025,0.011618519206822059,0.32603011384730307,0.20226665771570582,-0.314614303149062,0.6571849704454463,0.14462090507581504,0.17450977764338962,0.2508567221609584
15,5,5,8.479449074988038,0.015409891957888746,0.9864594650133958,-0.24824497525065742,-0.4601902342844137,-0.3062584390565639,-0.2624420183232034,-0.517451371373148,-0.5071071714265994,-0.19392599505284588,0.026620929893198197,-0.18862913444203983,-0.1099749724984151,-0.27676033818146883,0.16763437341126852
16,7,6,9.86761088190337,0.15205994404169432,0.7492635793983017,-0.2544494220775185,-0.4379553500844994,-0.5266192237746791,-0.7774530545421154,-0.1563326065961345,-0.18693552245888448,-0.1656382363612329,-0.8344001377119648,-0.18864009912442087,0.20124738218012633,-0.3327176270551324,0.2984007786232968
17,5,6,2.928069625764096,0.01717486094099584,0.30614019752214494,0.352869629812976,0.19609489339919867,0.26878831665153896,-0.05663504052246269,0.0013575285205175535,0.2869032484455503,0.4696079809110695,0.4715084227914647,0.21645446154617187,-0.15708475937210356,0.20498646821839211,0.20369724328513483
18,7,5,3.2798317939397603,0.06450158013838159,0.07414749634878436,0.5105892798107361,0.2666300617407463,0.6367184443719708,0.04661462013845026,-0.0330369125406861,0.20998493580765318,0.6361825537873775,0.5763539190457145,0.13321367695102132,0.19066601722383592,0.317391659633682,0.23836909470301815
19,7,7,8.75102561305385,0.09877539587163016,0.9267229540194608,-0.09466027323997832,-0.6714545939856349,-0.6232884951785567,-0.33499955738324094,-0.2226300017366177,-0.41180478484031324,-0.35060657345928126,-0.3348289983346043,-0.24758802114632888,0.1093042725479945,-0.31825570267565617,0.21796516834326504
20,6,8,9.392961975762141,0.04193348808033573,0.6774103799636817,-0.3997140983331558,-0.7070309761727923,-0.5418864282027877,-0.4655236892977257,-0.6398408359768173,-0.4868447773993152,-0.29719828736252263,-0.39885121507956267,-0.28104682011157295,0.1931109239149787,-0.40248262040212734,0.23668484557751798
21,8,4,7.263272041185655,0.03677644021821103,0.19319136200711684,-0.27780929729815645,-0.31911973358502504,-0.37317054503618696,-0.3503866454834597,-0.16339233210187162,-0.47471566653225683,-0.07304195540044674,-0.2531580894629935,-0.22253026497122233,0.013757677203771213,-0.24935668526678478,0.13800002117114993
