,eta,mu,K,epsilon,r2,mse
69,0.03,0.007571428571428571,1,1.4314285714285715,0.008220967319039096,17144623953.812815
70,0.03,0.007571428571428571,1,1.715714285714286,,
71,0.03,0.007571428571428571,1,2.0,,
72,0.03,0.007571428571428571,6,0.01,,
73,0.03,0.007571428571428571,6,0.2942857142857143,,
74,0.03,0.007571428571428571,6,0.5785714285714286,,
75,0.03,0.007571428571428571,6,0.862857142857143,,
76,0.03,0.007571428571428571,6,1.1471428571428572,,
77,0.03,0.007571428571428571,6,1.4314285714285715,,
78,0.03,0.007571428571428571,6,1.715714285714286,,
79,0.03,0.007571428571428571,6,2.0,,
80,0.03,0.007571428571428571,12,0.01,,
81,0.03,0.007571428571428571,12,0.2942857142857143,,
82,0.03,0.007571428571428571,12,0.5785714285714286,,
83,0.03,0.007571428571428571,12,0.862857142857143,,
84,0.03,0.007571428571428571,12,1.1471428571428572,,
85,0.03,0.007571428571428571,12,1.4314285714285715,,
86,0.03,0.007571428571428571,12,1.715714285714286,0.44515508064224263,9591458562.456215
87,0.03,0.007571428571428571,12,2.0,0.1183787265866687,15240355668.232227
88,0.03,0.007571428571428571,17,0.01,,
89,0.03,0.007571428571428571,17,0.2942857142857143,,
90,0.03,0.007571428571428571,17,0.5785714285714286,,
91,0.03,0.007571428571428571,17,0.862857142857143,,
92,0.03,0.007571428571428571,17,1.1471428571428572,,
93,0.03,0.007571428571428571,17,1.4314285714285715,,
94,0.03,0.007571428571428571,17,1.715714285714286,,
95,0.03,0.007571428571428571,17,2.0,,
96,0.03,0.007571428571428571,23,0.01,,
97,0.03,0.007571428571428571,23,0.2942857142857143,,
98,0.03,0.007571428571428571,23,0.5785714285714286,,
99,0.03,0.007571428571428571,23,0.862857142857143,,
100,0.03,0.007571428571428571,23,1.1471428571428572,,
101,0.03,0.007571428571428571,23,1.4314285714285715,,
102,0.03,0.007571428571428571,23,1.715714285714286,,
103,0.03,0.007571428571428571,23,2.0,,
104,0.03,0.007571428571428571,28,0.01,,
105,0.03,0.007571428571428571,28,0.2942857142857143,,
106,0.03,0.007571428571428571,28,0.5785714285714286,,
107,0.03,0.007571428571428571,28,0.862857142857143,,
108,0.03,0.007571428571428571,28,1.1471428571428572,,
109,0.03,0.007571428571428571,28,1.4314285714285715,,
110,0.03,0.007571428571428571,28,1.715714285714286,,
111,0.03,0.007571428571428571,28,2.0,0.22045976184545524,13475707591.737959
112,0.03,0.007571428571428571,34,0.01,,
113,0.03,0.007571428571428571,34,0.2942857142857143,,
114,0.03,0.007571428571428571,34,0.5785714285714286,,
115,0.03,0.007571428571428571,34,0.862857142857143,,
116,0.03,0.007571428571428571,34,1.1471428571428572,,
117,0.03,0.007571428571428571,34,1.4314285714285715,,
118,0.03,0.007571428571428571,34,1.715714285714286,,
119,0.03,0.007571428571428571,34,2.0,0.2746379483540905,12539143494.714054
120,0.03,0.007571428571428571,40,0.01,,
121,0.03,0.007571428571428571,40,0.2942857142857143,,
122,0.03,0.007571428571428571,40,0.5785714285714286,,
123,0.03,0.007571428571428571,40,0.862857142857143,,
124,0.03,0.007571428571428571,40,1.1471428571428572,,
125,0.03,0.007571428571428571,40,1.4314285714285715,,
126,0.03,0.007571428571428571,40,1.715714285714286,,
127,0.03,0.007571428571428571,40,2.0,,
128,0.03,0.014642857142857143,1,0.01,0.004056010152980294,17216622475.704117
129,0.03,0.014642857142857143,1,0.2942857142857143,,
130,0.03,0.014642857142857143,1,0.5785714285714286,,
131,0.03,0.014642857142857143,1,0.862857142857143,,
132,0.03,0.014642857142857143,1,1.1471428571428572,0.0027573790263912823,17239071571.305485
133,0.03,0.014642857142857143,1,1.4314285714285715,,
134,0.03,0.014642857142857143,1,1.715714285714286,,
135,0.03,0.014642857142857143,1,2.0,,
136,0.03,0.014642857142857143,6,0.01,,
137,0.03,0.014642857142857143,6,0.2942857142857143,,
138,0.03,0.014642857142857143,6,0.5785714285714286,,
139,0.03,0.014642857142857143,6,0.862857142857143,,
140,0.03,0.014642857142857143,6,1.1471428571428572,,
141,0.03,0.014642857142857143,6,1.4314285714285715,,
142,0.03,0.014642857142857143,6,1.715714285714286,,
143,0.03,0.014642857142857143,6,2.0,,
144,0.03,0.014642857142857143,12,0.01,,
145,0.03,0.014642857142857143,12,0.2942857142857143,,
146,0.03,0.014642857142857143,12,0.5785714285714286,,
147,0.03,0.014642857142857143,12,0.862857142857143,,
148,0.03,0.014642857142857143,12,1.1471428571428572,,
149,0.03,0.014642857142857143,12,1.4314285714285715,,
150,0.03,0.014642857142857143,12,1.715714285714286,,
151,0.03,0.014642857142857143,12,2.0,0.13797427438537513,14901612574.148426
152,0.03,0.014642857142857143,17,0.01,,
153,0.03,0.014642857142857143,17,0.2942857142857143,,
154,0.03,0.014642857142857143,17,0.5785714285714286,,
155,0.03,0.014642857142857143,17,0.862857142857143,,
156,0.03,0.014642857142857143,17,1.1471428571428572,,
157,0.03,0.014642857142857143,17,1.4314285714285715,,
158,0.03,0.014642857142857143,17,1.715714285714286,,
159,0.03,0.014642857142857143,17,2.0,,
160,0.03,0.014642857142857143,23,0.01,,
161,0.03,0.014642857142857143,23,0.2942857142857143,,
162,0.03,0.014642857142857143,23,0.5785714285714286,,
163,0.03,0.014642857142857143,23,0.862857142857143,,
164,0.03,0.014642857142857143,23,1.1471428571428572,,
165,0.03,0.014642857142857143,23,1.4314285714285715,,
166,0.03,0.014642857142857143,23,1.715714285714286,,
167,0.03,0.014642857142857143,23,2.0,,
168,0.03,0.014642857142857143,28,0.01,,
169,0.03,0.014642857142857143,28,0.2942857142857143,,
170,0.03,0.014642857142857143,28,0.5785714285714286,,
171,0.03,0.014642857142857143,28,0.862857142857143,,
172,0.03,0.014642857142857143,28,1.1471428571428572,,
173,0.03,0.014642857142857143,28,1.4314285714285715,,
174,0.03,0.014642857142857143,28,1.715714285714286,,
175,0.03,0.014642857142857143,28,2.0,,
176,0.03,0.014642857142857143,34,0.01,,
177,0.03,0.014642857142857143,34,0.2942857142857143,,
178,0.03,0.014642857142857143,34,0.5785714285714286,,
179,0.03,0.014642857142857143,34,0.862857142857143,,
180,0.03,0.014642857142857143,34,1.1471428571428572,,
181,0.03,0.014642857142857143,34,1.4314285714285715,,
182,0.03,0.014642857142857143,34,1.715714285714286,,
183,0.03,0.014642857142857143,34,2.0,0.37335754843327107,10832603666.327911
184,0.03,0.014642857142857143,40,0.01,,
185,0.03,0.014642857142857143,40,0.2942857142857143,,
186,0.03,0.014642857142857143,40,0.5785714285714286,,
187,0.03,0.014642857142857143,40,0.862857142857143,,
188,0.03,0.014642857142857143,40,1.1471428571428572,,
189,0.03,0.014642857142857143,40,1.4314285714285715,,
190,0.03,0.014642857142857143,40,1.715714285714286,,
191,0.03,0.014642857142857143,40,2.0,0.193351229755226,13944325674.306715
192,0.03,0.021714285714285714,1,0.01,,
193,0.03,0.021714285714285714,1,0.2942857142857143,,
194,0.03,0.021714285714285714,1,0.5785714285714286,,
195,0.03,0.021714285714285714,1,0.862857142857143,,
196,0.03,0.021714285714285714,1,1.1471428571428572,,
197,0.03,0.021714285714285714,1,1.4314285714285715,,
198,0.03,0.021714285714285714,1,1.715714285714286,,
199,0.03,0.021714285714285714,1,2.0,,
200,0.03,0.021714285714285714,6,0.01,,
201,0.03,0.021714285714285714,6,0.2942857142857143,,
202,0.03,0.021714285714285714,6,0.5785714285714286,,
203,0.03,0.021714285714285714,6,0.862857142857143,,
204,0.03,0.021714285714285714,6,1.1471428571428572,,
205,0.03,0.021714285714285714,6,1.4314285714285715,,
206,0.03,0.021714285714285714,6,1.715714285714286,,
207,0.03,0.021714285714285714,6,2.0,,
208,0.03,0.021714285714285714,12,0.01,,
209,0.03,0.021714285714285714,12,0.2942857142857143,,
210,0.03,0.021714285714285714,12,0.5785714285714286,,
211,0.03,0.021714285714285714,12,0.862857142857143,,
212,0.03,0.021714285714285714,12,1.1471428571428572,,
213,0.03,0.021714285714285714,12,1.4314285714285715,,
214,0.03,0.021714285714285714,12,1.715714285714286,,
215,0.03,0.021714285714285714,12,2.0,,
216,0.03,0.021714285714285714,17,0.01,,
217,0.03,0.021714285714285714,17,0.2942857142857143,,
218,0.03,0.021714285714285714,17,0.5785714285714286,,
219,0.03,0.021714285714285714,17,0.862857142857143,,
220,0.03,0.021714285714285714,17,1.1471428571428572,,
221,0.03,0.021714285714285714,17,1.4314285714285715,,
222,0.03,0.021714285714285714,17,1.715714285714286,,
223,0.03,0.021714285714285714,17,2.0,,
224,0.03,0.021714285714285714,23,0.01,,
225,0.03,0.021714285714285714,23,0.2942857142857143,,
226,0.03,0.021714285714285714,23,0.5785714285714286,,
227,0.03,0.021714285714285714,23,0.862857142857143,,
228,0.03,0.021714285714285714,23,1.1471428571428572,,
229,0.03,0.021714285714285714,23,1.4314285714285715,,
230,0.03,0.021714285714285714,23,1.715714285714286,,
231,0.03,0.021714285714285714,23,2.0,,
232,0.03,0.021714285714285714,28,0.01,,
233,0.03,0.021714285714285714,28,0.2942857142857143,,
234,0.03,0.021714285714285714,28,0.5785714285714286,,
235,0.03,0.021714285714285714,28,0.862857142857143,,
236,0.03,0.021714285714285714,28,1.1471428571428572,,
237,0.03,0.021714285714285714,28,1.4314285714285715,,
238,0.03,0.021714285714285714,28,1.715714285714286,,
239,0.03,0.021714285714285714,28,2.0,,
240,0.03,0.021714285714285714,34,0.01,,
241,0.03,0.021714285714285714,34,0.2942857142857143,,
242,0.03,0.021714285714285714,34,0.5785714285714286,,
243,0.03,0.021714285714285714,34,0.862857142857143,,
244,0.03,0.021714285714285714,34,1.1471428571428572,,
245,0.03,0.021714285714285714,34,1.4314285714285715,,
