,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
14,6,6,1.9991421069014843,0.13354058487805395,0.023571635612109836,0.015345333557227864,-0.0344860562962633,-0.148009560147423,-0.08212344873596103,-0.18238039946029266,0.14921554908575724,-0.08477337223841383,0.12587663833932547,0.045788528249292804,0.21710003985117302,0.0021553252204422556,0.12562554013387314
15,6,7,1.4473192616715789,0.44802825641622607,0.888193471347177,-0.04616533059519801,-0.1515843555092061,-0.0547577386525253,-0.033615602779247036,0.019225237790222394,-0.0044340073041913616,0.006234170159777929,-0.029577329322423317,0.00036170308747358605,-0.012240763631734453,-0.030655401675705168,0.04614418420274787
16,5,6,0.13997533081751748,0.05629289783833176,0.9895867288127285,-0.007834661680828725,-0.050231765637991074,-0.003429223548517224,-0.015341978529606254,-0.007707847255415667,-0.031420859687248025,-0.013465966734258834,-0.018631040356129037,-0.0237508607265401,-0.0048444905272735815,-0.017665869468380852,0.013688025324099065
17,12,8,0.3374554379084881,0.03469316196903145,0.42426299451467,0.0029364048884465256,-0.2780066002661892,0.00685015552265435,-0.021624032861059333,-0.0076285587910734694,-0.16836300210155378,-0.015723539254179308,-0.01731727369917957,-0.00023513081165010274,-0.017727618543615663,-0.051683919591739944,0.08964612486666286
18,8,7,1.2303777332097507,0.29497370444006277,0.5189689606670145,-0.024252429291594012,-0.19016492701642757,0.0014687874914868116,-0.0213092752971925,0.0007021983495460238,-0.15690063454446285,-0.23856205935215935,0.008940042162539985,-0.05923212764710879,0.048740192972470106,-0.06305702321729022,0.09216255999570558
19,14,7,1.2518929911123586,0.379180822971346,0.32856895245132367,-0.08776275280257317,-0.09298331460427342,-0.08207033840583731,-0.0855379041873188,-0.004545559647703534,0.026678902761365763,-0.045516563978439235,-0.04693882817476117,-0.04240294460048868,-0.01060288488671839,-0.0471682188526748,0.03882000825135105
20,7,8,1.394348280375111,0.26883745695774974,0.27473016428344965,-0.030185142282057608,-0.15824836292200278,-0.04683252500843636,-0.13508208290716256,-0.3663932382289975,0.15306340045814446,-0.12989441544040048,-0.2838955406350601,0.03385368000243877,0.0772065937697984,-0.08864076331937357,0.15168087189587653
21,8,5,0.42988092048376825,0.042490599338098324,0.15644176272911225,-0.04286291651802494,-0.17161070908105885,-0.05105052408800483,-0.1820879442211477,-0.06946224211095153,-0.21511422589282367,0.04761837530136644,0.04211155169369739,0.04379906271750304,0.014396417251734284,-0.05842631549477104,0.0949625913392707
22,7,8,1.5074745585798326,0.030910982802406454,0.44328806198204407,-0.1078844875539692,-0.07624464613373086,-0.0037222813541481605,-0.17135720540158475,-0.0035641761686730942,-0.07241212713734695,-0.1874170888752794,0.004725519184450355,0.00867577992673908,0.19817531921790468,-0.041102539429563836,0.10473190058983532
23,13,8,0.8921965508467246,0.3329218835995721,0.6489210762313129,-0.006364357379024577,-0.05402689512937801,-0.0005514859892992219,-0.02012113813008854,0.012751203338668715,-0.030641872747799698,-0.036721262359842397,-0.005390613541122652,-0.005050857544075726,-0.011289281744287043,-0.015740656122624912,0.018758674385112972
24,8,9,1.4601111389268246,0.05796602012157759,0.988570928420717,-0.011962847743013904,-0.15448742963167256,-0.0455539544460926,-0.0069978864434705355,-0.0007792298866891756,-0.09192351780616917,-0.0030962015240279194,-0.016467462612066643,-0.022157960732936542,-0.039501716160059416,-0.03929282069861985,0.04634330173110661
