,epsilon,sigma,r2,mse
1931,5423.733389830509,1864.4881355932202,0.001300020196700391,17258434083.48402
1932,5423.733389830509,2033.9779661016946,0.0016666731579595417,17252097990.47173
1933,5423.733389830509,2203.4677966101694,0.002090498882480918,17244773900.677536
1934,5423.733389830509,2372.957627118644,0.0025724288725533784,17236445716.903908
1935,5423.733389830509,2542.4474576271186,0.0031116389237162423,17227127682.145386
1936,5423.733389830509,2711.937288135593,0.0037060869894095516,17216855084.803547
1937,5423.733389830509,2881.4271186440674,0.004353132833629814,17205673550.531693
1938,5423.733389830509,3050.916949152542,0.005050021820990236,17193630681.90739
1939,5423.733389830509,3220.4067796610166,0.005794192216554972,17180770748.014866
1940,5423.733389830509,3389.8966101694914,0.0065834284490043915,17167132035.91966
1941,5423.733389830509,3559.3864406779658,0.007415901137558967,17152746158.967358
1942,5423.733389830509,3728.8762711864406,0.008290139290009213,17137638537.226639
1943,5423.733389830509,3898.366101694915,0.009204974772747287,17121829357.09711
1944,5423.733389830509,4067.8559322033893,0.010159485575265581,17105334551.749784
1945,5423.733389830509,4237.345762711864,0.011152949084160757,17088166608.59433
1946,5423.733389830509,4406.835593220339,0.012184805949279176,17070335193.704603
1947,5423.733389830509,4576.325423728814,0.01325463108466074,17051847652.948395
1948,5423.733389830509,4745.815254237288,0.014362108855960787,17032709440.77113
1949,5423.733389830509,4915.3050847457625,0.0155070114297996,17012924494.338568
1950,5423.733389830509,5084.794915254238,0.016689180532461934,16992495548.762894
1951,5423.733389830509,5254.284745762712,0.017908512977093283,16971424387.205776
1952,5423.733389830509,5423.774576271187,0.019164949735732906,16949712029.723484
1953,5423.733389830509,5593.264406779661,0.02045846772098925,16927358875.28691
1954,5423.733389830509,5762.754237288135,0.021789073203395737,16904364815.535593
1955,5423.733389830509,5932.244067796611,0.023156795971264965,16880729335.700697
1956,5423.733389830509,6101.733898305085,0.024561683761151643,16856451610.851612
1957,5423.733389830509,6271.223728813559,0.026003796919194078,16831530598.152782
1958,5423.733389830509,6440.713559322034,0.02748320353557354,16805965120.944618
1959,5423.733389830509,6610.203389830509,0.028999975373124043,16779753939.100792
1960,5423.733389830509,6779.693220338983,0.030554184822569885,16752895801.644464
1961,5423.733389830509,6949.183050847458,0.032145902941255855,16725389480.640795
1962,5423.733389830509,7118.672881355932,0.033775198451990174,16697233788.497831
1963,5423.733389830509,7288.162711864406,0.03544213745169644,16668427583.001274
1964,5423.733389830509,7457.652542372882,0.03714678353035661,16638969765.259033
1965,5423.733389830509,7627.142372881356,0.038889198024409044,16608859275.322273
1966,5423.733389830509,7796.6322033898305,0.040669440202356855,16578095088.97794
1967,5423.733389830509,7966.122033898305,0.04248756727456049,16546676217.579538
1968,5423.733389830509,8135.611864406779,0.04434363420790999,16514601711.249765
1969,5423.733389830509,8305.101694915254,0.04623769339153205,16481870664.657377
1970,5423.733389830509,8474.591525423728,0.048169794234118046,16448482223.975739
1971,5423.733389830509,8644.081355932203,0.05013998277765774,16414435593.557852
1972,5423.733389830509,8813.571186440679,0.05214830139312865,16379730041.195105
1973,5423.733389830509,8983.061016949152,0.05419478859054139,16344364901.39987
1974,5423.733389830509,9152.550847457627,0.05627947893843488,16308339576.796698
1975,5423.733389830509,9322.040677966103,0.05840240305447997,16271653538.284693
