,QKLMS,QKLMS_AKB,QKLMS_AMK
174,0.850605396,1.140944038,1.861686902
175,0.956927777,1.25594529,2.570361885
176,0.96688626,1.209933587,2.756985483
177,0.905493092,1.061157167,2.21552411
178,0.796270418,0.894237627,1.416391002
179,0.678403143,0.729499307,0.832844413
180,0.557479041,0.59207481,0.536386211
181,0.457687828,0.50455087,0.42971556
182,0.401557065,0.464076053,0.404438299
183,0.37779979,0.458871246,0.405722887
184,0.39040919,0.49756787,0.441748076
185,0.462188693,0.638772907,0.614449331
186,0.637435664,0.934114532,1.171893279
187,0.895749814,1.308332717,2.393755768
188,1.071542701,1.502505008,3.848732392
189,1.070201463,1.388881832,4.249696138
190,0.973321098,1.148900855,3.093979029
191,0.843578371,0.890259333,1.616834989
192,0.690017462,0.682585261,0.758762452
193,0.527948245,0.519171551,0.446663306
194,0.399595938,0.435205079,0.395416283
195,0.342537306,0.41903343,0.41504549
196,0.348569247,0.431628555,0.430123899
197,0.363189759,0.430612166,0.422905548
198,0.34848167,0.416159586,0.398743228
199,0.341347992,0.481348022,0.43634179
200,0.483226617,0.82739358,0.936310929
201,0.876167449,1.516164575,2.959558973
202,1.22581174,1.972179581,6.645693978
203,1.236896637,1.742337766,8.391939422
204,1.107332421,1.26482537,5.815303656
205,0.973554327,0.919449829,2.44347027
206,0.821823473,0.660799372,0.848524793
207,0.613139069,0.474499242,0.421416517
208,0.408853438,0.41886295,0.414758566
209,0.341832087,0.513897555,0.480027315
210,0.479070774,0.70208306,0.522449911
211,0.665461757,0.893707692,0.544131033
212,0.778142983,1.023906317,0.547387239
213,0.787282383,1.077210896,0.51769955
214,0.680352028,1.017585363,0.45047297
215,0.505947298,0.826996562,0.396076623
216,0.396113233,0.639440525,0.440719522
217,0.3831225,0.58131037,0.511085208
218,0.4050332,0.611279052,0.501413664
219,0.492778378,0.681410367,0.497637532
220,0.663745506,0.757947266,0.555626275
221,0.858580754,0.807461271,0.636253034
222,0.949077632,0.774473923,0.592464965
223,0.846699118,0.653957295,0.459420034
224,0.611955556,0.510025505,0.40043152
225,0.416587385,0.416667102,0.395407724
226,0.330844029,0.400126575,0.403592329
227,0.32620493,0.489726301,0.506381325
228,0.445828056,0.793319151,1.048538361
229,0.710077857,1.28345883,2.713582253
230,0.939400948,1.555427138,5.294805476
231,0.971085495,1.379274428,6.294696838
232,0.915826832,1.058677357,4.507784623
233,0.855757508,0.81709851,2.118181886
234,0.773996079,0.62950775,0.823771781
235,0.621702188,0.482303789,0.428074764
236,0.429992026,0.386670848,0.406259577
237,0.320130862,0.375776804,0.462986787
238,0.379601031,0.456155407,0.51089621
239,0.5200547,0.576412806,0.547329199
240,0.643207165,0.679529815,0.581749507
241,0.726208721,0.741257115,0.615266051
242,0.775914524,0.781153753,0.64782911
243,0.80290487,0.785445866,0.669515484
244,0.803293044,0.759400537,0.680090888
245,0.753122022,0.660986247,0.655159151
246,0.62062339,0.496539587,0.558550044
247,0.40311726,0.359827025,0.403974192
248,0.32622011,0.756547941,0.926984919
249,0.826350117,2.186352127,6.072501336
250,1.170649609,2.523871184,17.84685533
251,1.011221705,1.450354311,20.60647066
252,1.051671583,0.871156721,10.40113567
253,1.301439376,0.710070303,3.182126499
254,1.55929347,0.678791185,1.070055411
255,1.531204491,0.611751618,0.487751712
256,1.061061231,0.447386513,0.395320035
257,0.491555487,0.352394078,0.404736764
258,0.298536292,0.440630791,0.398269776
259,0.322166312,0.542678133,0.395407401
260,0.353754446,0.595627066,0.395381393
261,0.369917665,0.62241944,0.395440253
262,0.377622488,0.632719731,0.395471001
263,0.379894278,0.638176814,0.395518672
264,0.379250204,0.639413123,0.39538152
265,0.376858784,0.634799842,0.395388777
266,0.37249875,0.630505172,0.395493147
267,0.368392626,0.626975002,0.395570802
268,0.365482827,0.621543048,0.395574355
269,0.364821264,0.623035639,0.395975657
270,0.366923307,0.622672692,0.396193962
271,0.37057475,0.625173452,0.396170444
272,0.376171763,0.631677547,0.396051799
273,0.3813883,0.637561624,0.395821498
274,0.385550737,0.644920799,0.39555186
275,0.386876473,0.646695036,0.395375807
276,0.385128863,0.646472059,0.395351479
277,0.380303173,0.642494704,0.39534166
278,0.373965839,0.634973865,0.395458943
279,0.367697135,0.627399398,0.395651926
280,0.363096789,0.619360776,0.395707963
281,0.360727001,0.616162943,0.396124202
282,0.362407446,0.617351873,0.396371194
283,0.366671355,0.620941535,0.396449761
284,0.373596691,0.627464217,0.396150491
285,0.381805836,0.637750514,0.395957607
286,0.387973023,0.646480617,0.39556366
287,0.392637903,0.651525863,0.395440419
288,0.391298621,0.652835433,0.395303624
289,0.38573428,0.646873545,0.395335494
290,0.377343229,0.638360376,0.395305382
291,0.367803003,0.627654437,0.395411647
292,0.360137417,0.618045765,0.395630055
293,0.355556667,0.611228943,0.39588662
294,0.356027654,0.608901349,0.396438315
295,0.360500937,0.612084946,0.396874175
296,0.369269355,0.621054611,0.396724655
297,0.380708374,0.635637091,0.396100492
298,0.39191,0.64760381,0.395685173
299,0.399684914,0.656953246,0.395354597
300,0.401434474,0.662284643,0.395283973
301,0.395146388,0.658079662,0.395328396
302,0.38446494,0.650175167,0.395318091
303,0.370533936,0.633174057,0.39530503
