,QKLMS,QKLMS_AKB,QKLMS_AMK
420,6.219893389,6.391582692,20.62387279
421,6.202338307,6.372416591,20.54048329
422,6.13558234,6.293037231,20.23804555
423,6.103685415,6.206800649,19.89524556
424,6.033519327,6.146632779,19.48484804
425,5.948514567,6.025504172,19.03088528
426,5.862397844,5.916479196,18.45819265
427,5.79167818,5.791401183,17.77352145
428,5.654708588,5.661169647,17.10433438
429,5.566766213,5.534210443,16.30688021
430,5.423431923,5.409601933,15.58294048
431,5.327410045,5.2691806,14.83951713
432,5.19824698,5.122655943,14.20507958
433,5.061210369,4.989231158,13.46872653
434,4.931268714,4.847579419,12.7350375
435,4.811758736,4.702338166,12.05136091
436,4.692778003,4.551904935,11.42474585
437,4.56415474,4.426902479,10.83243889
438,4.439520764,4.302964315,10.18564773
439,4.323775127,4.163325563,9.656663939
440,4.184792576,4.05985535,9.185274771
441,4.091165847,3.947387285,8.757261378
442,4.000442635,3.83949526,8.311438554
443,3.905087216,3.743722659,7.928847681
444,3.799726605,3.648220416,7.53574263
445,3.722185891,3.592335822,7.233553726
446,3.659846229,3.508100405,7.000348706
447,3.575152888,3.463776321,6.782114261
448,3.518303661,3.413665887,6.582049906
449,3.484041278,3.383413698,6.431224515
450,3.454801816,3.363348778,6.348930112
451,3.421668343,3.34482595,6.26377683
452,3.409696438,3.323190209,6.228392098
453,3.400207134,3.339222589,6.238942884
454,3.411049866,3.365218951,6.26667117
455,3.442009088,3.397616664,6.372752703
456,3.473099293,3.465101387,6.494630501
457,3.515667568,3.515318211,6.616079825
458,3.570895958,3.611125841,6.85347316
459,3.647619241,3.701377067,7.105237394
460,3.729350537,3.805486597,7.429627755
461,3.841868448,3.935110453,7.810029511
462,3.965152032,4.087274909,8.250948892
463,4.088081876,4.242292018,8.790397092
464,4.248530817,4.414818094,9.401902394
465,4.397016825,4.624309346,10.07252217
466,4.570788184,4.816914534,10.80239362
467,4.754006415,5.041675665,11.63678229
468,4.96364591,5.280240674,12.55758452
469,5.163294001,5.497491598,13.53661173
470,5.353812882,5.745180828,14.61595965
471,5.558590474,5.95641214,15.76738891
472,5.753817766,6.16941354,16.94242563
473,5.928530689,6.378510105,18.11046816
474,6.126393442,6.590464164,19.21046334
475,6.295929645,6.765965266,20.41662759
476,6.422213016,6.913943281,21.51159216
477,6.534726459,7.025169655,22.54881716
478,6.648524261,7.14673048,23.37271806
479,6.738450299,7.19106941,24.16169359
480,6.757056973,7.215813687,24.7727326
481,6.786670056,7.242618548,25.26179426
482,6.795015038,7.189815802,25.40929033
483,6.77988229,7.113984723,25.33465878
484,6.725581576,7.044067033,25.1365528
485,6.645678645,6.923685012,24.76112554
486,6.567122717,6.8144061,24.06689557
487,6.46612662,6.670984645,23.32842194
488,6.349133401,6.482287926,22.46722908
489,6.203735789,6.302494451,21.48654476
490,6.079403809,6.127440333,20.31877642
491,5.920342553,5.922949439,19.15608409
492,5.75568365,5.719512582,17.86384566
493,5.593397305,5.52164978,16.76782391
494,5.413970746,5.319377972,15.64840044
495,5.262693896,5.122696213,14.53366452
496,5.07174054,4.961295533,13.41263778
497,4.907196282,4.758666215,12.39924307
498,4.736569194,4.553398876,11.4488375
499,4.564557823,4.370827975,10.65522837
500,4.396186041,4.175074381,9.868398587
501,4.236491784,3.998606453,9.129343775
502,4.064731176,3.833616391,8.385374861
503,3.919295118,3.669724492,7.805374364
504,3.770843321,3.523051037,7.24323417
505,3.625235265,3.385222809,6.743790335
506,3.504156524,3.261231303,6.288654908
507,3.374927996,3.147016193,5.875860189
508,3.255782776,3.042170274,5.550890406
509,3.159120145,2.947254951,5.23407397
510,3.048231966,2.857202662,4.989806135
511,2.970109473,2.778121791,4.759139113
512,2.877770698,2.744375867,4.553847204
513,2.837485019,2.685832605,4.417627052
514,2.784087829,2.65347281,4.281367426
515,2.733079561,2.62289671,4.188855705
516,2.700907931,2.63118585,4.150170864
517,2.689772276,2.624218118,4.138395957
518,2.691780194,2.647096197,4.178987744
519,2.699352045,2.682961951,4.223666678
520,2.724139451,2.731290047,4.306612215
521,2.77406906,2.818051237,4.452614743
522,2.833046791,2.917406662,4.652540875
523,2.921644395,3.015978986,4.918436374
524,3.026008251,3.164997859,5.245558742
525,3.143216969,3.323450945,5.637569603
526,3.293257862,3.52292103,6.108082152
527,3.457562451,3.717529843,6.658799576
528,3.644782043,3.95574169,7.377256609
529,3.851972336,4.246104509,8.185822524
530,4.088599427,4.532423943,9.130379182
531,4.350176877,4.869501715,10.19620341
532,4.619753267,5.211840711,11.43138155
