,epsilon,sigma,r2,mse
72,169.50135593220338,2033.9779661016946,0.9983388720608747,0.0019010079060714274
73,169.50135593220338,2203.4677966101694,0.9983389772898585,0.0019008874811929394
74,169.50135593220338,2372.957627118644,0.9983390607812761,0.0019007919329566152
75,169.50135593220338,2542.4474576271186,0.998339128134995,0.0019007148528297957
76,169.50135593220338,2711.937288135593,0.9983391832571833,0.0019006517705631547
77,169.50135593220338,2881.4271186440674,0.9983392289398313,0.0019005994909807402
78,169.50135593220338,3050.916949152542,0.99833926722146,0.0019005556811830498
79,169.50135593220338,3220.4067796610166,0.9983392996185878,0.0019005186056546782
80,169.50135593220338,3389.8966101694914,0.9983393272782926,0.0019004869516706007
81,169.50135593220338,3559.3864406779658,0.9983393510811781,0.0019004597114606586
82,169.50135593220338,3728.8762711864406,0.9983393717123512,0.0019004361009836122
83,169.50135593220338,3898.366101694915,0.9983393897112816,0.0019004155028659075
84,169.50135593220338,4067.8559322033893,0.9983394055074335,0.0019003974256250197
85,169.50135593220338,4237.345762711864,0.9983394194461267,0.001900381474074664
86,169.50135593220338,4406.835593220339,0.9983394318075715,0.0019003673275399381
87,169.50135593220338,4576.325423728814,0.9983394428210636,0.001900354723612755
88,169.50135593220338,4745.815254237288,0.9983394526756958,0.0019003434458938796
89,169.50135593220338,4915.3050847457625,0.9983394615285294,0.0019003333146413869
90,169.50135593220338,5084.794915254238,0.998339469510891,0.0019003241795638426
91,169.50135593220338,5254.284745762712,0.9983394767332722,0.0019003159142139284
92,169.50135593220338,5423.774576271187,0.9983394832891734,0.0019003084115888295
93,169.50135593220338,5593.264406779661,0.9983394892581462,0.0019003015806494166
94,169.50135593220338,5762.754237288135,0.998339494708217,0.001900295343545273
95,169.50135593220338,5932.244067796611,0.9983394996978355,0.001900289633386626
96,169.50135593220338,6101.733898305085,0.9983395042774468,0.0019002843924433696
97,169.50135593220338,6271.223728813559,0.9983395084907726,0.001900279570680101
98,169.50135593220338,6440.713559322034,0.9983395123758583,0.0019002751245574092
99,169.50135593220338,6610.203389830509,0.9983395159659348,0.0019002710160454979
100,169.50135593220338,6779.693220338983,0.9983395192901319,0.0019002672118082322
101,169.50135593220338,6949.183050847458,0.9983395223740703,0.0019002636825247517
102,169.50135593220338,7118.672881355932,0.9983395252403579,0.0019002604023227927
103,169.50135593220338,7288.162711864406,0.9983395279090039,0.0019002573483031563
104,169.50135593220338,7457.652542372882,0.9983395303977706,0.001900254500138964
105,169.50135593220338,7627.142372881356,0.9983395327224683,0.0019002518397365385
106,169.50135593220338,7796.6322033898305,0.998339534897208,0.0019002493509473295
107,169.50135593220338,7966.122033898305,0.9983395369346154,0.0019002470193222678
108,169.50135593220338,8135.611864406779,0.9983395388460149,0.0019002448319015773
109,169.50135593220338,8305.101694915254,0.9983395406415874,0.0019002427770342897
110,169.50135593220338,8474.591525423728,0.9983395423305057,0.0019002408442227838
111,169.50135593220338,8644.081355932203,0.9983395439210526,0.0019002390239884366
112,169.50135593220338,8813.571186440679,0.9983395454207218,0.0019002373077551954
113,169.50135593220338,8983.061016949152,0.998339546836307,0.0019002356877483712
114,169.50135593220338,9152.550847457627,0.9983395481739785,0.0019002341569064347
115,169.50135593220338,9322.040677966103,0.9983395494393513,0.0019002327088039302
116,169.50135593220338,9491.530508474576,0.998339550637543,0.0019002313375839407
