,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
134,0.1,0.1,0.1,20,1.177399542781762,15,1.5346868814086156
135,0.1,0.1,1.0,2,1.8550260777024734,15,2.10002759257616
136,0.1,0.1,1.0,5,1.2227375453896685,14,1.512712793470906
137,0.1,0.1,1.0,10,1.1792541306579094,15,1.526144445055494
138,0.1,0.1,1.0,15,1.204761775888963,15,1.5557779652855763
139,0.1,0.1,1.0,20,1.177399542781762,15,1.5346868814086156
140,0.1,1.0,0.001,2,1.2591884305296555,4,1.290215899018353
141,0.1,1.0,0.001,5,1.259211428615697,4,1.2902383440498058
142,0.1,1.0,0.001,10,1.2592954736927342,4,1.2903203681888493
143,0.1,1.0,0.001,15,1.2592954736927342,4,1.2903203681888493
144,0.1,1.0,0.001,20,1.2592954736927342,4,1.2903203681888493
145,0.1,1.0,0.1,2,1.2478445290388214,4,1.2826732765116446
146,0.1,1.0,0.1,5,1.2534385173376523,4,1.2846048728093835
147,0.1,1.0,0.1,10,1.2592954736927342,4,1.2903203681888493
148,0.1,1.0,0.1,15,1.2592954736927342,4,1.2903203681888493
149,0.1,1.0,0.1,20,1.2592954736927342,4,1.2903203681888493
150,0.1,1.0,0.1,2,1.2478445290388214,4,1.2826732765116446
151,0.1,1.0,0.1,5,1.2534385173376523,4,1.2846048728093835
152,0.1,1.0,0.1,10,1.2592954736927342,4,1.2903203681888493
153,0.1,1.0,0.1,15,1.2592954736927342,4,1.2903203681888493
154,0.1,1.0,0.1,20,1.2592954736927342,4,1.2903203681888493
155,0.1,1.0,1.0,2,1.2390087092830822,4,1.270529080414663
156,0.1,1.0,1.0,5,1.2979905138283252,4,1.3248909444227173
157,0.1,1.0,1.0,10,1.2592954736927342,4,1.2903203681888493
158,0.1,1.0,1.0,15,1.2592954736927342,4,1.2903203681888493
159,0.1,1.0,1.0,20,1.2592954736927342,4,1.2903203681888493
160,0.1,1.5,0.001,2,1.2535810991758096,2,1.2614439990882793
161,0.1,1.5,0.001,5,1.2535262372950444,2,1.261389479190338
162,0.1,1.5,0.001,10,1.2535262372950444,2,1.261389479190338
163,0.1,1.5,0.001,15,1.2535262372950444,2,1.261389479190338
164,0.1,1.5,0.001,20,1.2535262372950444,2,1.261389479190338
165,0.1,1.5,0.1,2,1.2620637947133664,2,1.269874171936457
166,0.1,1.5,0.1,5,1.2535262372950444,2,1.261389479190338
167,0.1,1.5,0.1,10,1.2535262372950444,2,1.261389479190338
168,0.1,1.5,0.1,15,1.2535262372950444,2,1.261389479190338
169,0.1,1.5,0.1,20,1.2535262372950444,2,1.261389479190338
170,0.1,1.5,0.1,2,1.2620637947133664,2,1.269874171936457
171,0.1,1.5,0.1,5,1.2535262372950444,2,1.261389479190338
172,0.1,1.5,0.1,10,1.2535262372950444,2,1.261389479190338
173,0.1,1.5,0.1,15,1.2535262372950444,2,1.261389479190338
174,0.1,1.5,0.1,20,1.2535262372950444,2,1.261389479190338
175,0.1,1.5,1.0,2,1.4637299157063262,2,1.4737863758898875
176,0.1,1.5,1.0,5,1.2535262372950444,2,1.261389479190338
177,0.1,1.5,1.0,10,1.2535262372950444,2,1.261389479190338
178,0.1,1.5,1.0,15,1.2535262372950444,2,1.261389479190338
179,0.1,1.5,1.0,20,1.2535262372950444,2,1.261389479190338
180,0.1,2.0,0.001,2,1.254223096871213,2,1.260436661131854
181,0.1,2.0,0.001,5,1.2541682349904475,2,1.260382069714995
182,0.1,2.0,0.001,10,1.2541682349904475,2,1.260382069714995
183,0.1,2.0,0.001,15,1.2541682349904475,2,1.260382069714995
184,0.1,2.0,0.001,20,1.2541682349904475,2,1.260382069714995
185,0.1,2.0,0.1,2,1.2627057924087697,2,1.2688778184611231
186,0.1,2.0,0.1,5,1.2541682349904475,2,1.260382069714995
