,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
33,0.1,0.5,2.0,0.19602312951672823,378,0.21765621356977616
34,0.1,0.5,4.0,0.2790545662330183,378,0.2946533742136648
35,0.1,0.5,8.0,0.09489320803562336,378,0.13399209279391114
36,0.1,1.0,0.01,0.8810492946090767,168,0.8820605478968843
37,0.1,1.0,0.1,1.1638291927798756,168,1.164594925539201
38,0.1,1.0,1.0,0.2831152652238572,168,0.2862467537418984
39,0.1,1.0,2.0,0.2657399363930689,168,0.2690737155858824
40,0.1,1.0,4.0,0.3313403632157497,168,0.33402003969963384
41,0.1,1.0,8.0,0.11610559394151361,168,0.12354537453709727
42,0.1,2.0,0.01,0.8808694634420988,66,0.8810244532643637
43,0.1,2.0,0.1,1.8538871991895725,66,1.8539608471982243
44,0.1,2.0,1.0,0.37758015322843963,66,0.3779415930233294
45,0.1,2.0,2.0,0.2935331726076197,66,0.2939979575542909
46,0.1,2.0,4.0,0.36764658182773136,66,0.36801777776979033
47,0.1,2.0,8.0,0.16899213584795295,66,0.1697981672558717
48,0.3,0.1,0.01,0.8806048165617806,1392,0.9469099497585857
49,0.3,0.1,0.1,0.7655796606884063,1392,0.8410028697095958
50,0.3,0.1,1.0,0.30561368514248494,1392,0.4632206110983944
51,0.3,0.1,2.0,0.43981742503964466,1392,0.5609037148820674
52,0.3,0.1,4.0,0.5806176364811731,1392,0.6769715280519438
53,0.3,0.1,8.0,0.4753954899093393,1392,0.5892151405269053
54,0.3,0.5,0.01,0.8836272738423825,378,0.888676723605452
55,0.3,0.5,0.1,1.4199909258730892,378,1.4231385700492811
56,0.3,0.5,1.0,0.4814413094458009,378,0.490647423758535
57,0.3,0.5,2.0,0.5780231199474024,378,0.5857131441189699
58,0.3,0.5,4.0,0.8019287662007951,378,0.8074892606470563
59,0.3,0.5,8.0,0.612408431508071,378,0.6196718865514037
60,0.3,1.0,0.01,0.8852621100706962,168,0.886268556449918
61,0.3,1.0,0.1,3.8939817302004833,168,3.894210660167237
62,0.3,1.0,1.0,0.7024384510602291,168,0.7037064218499742
63,0.3,1.0,2.0,0.7841431772728032,168,0.7852792325590222
64,0.3,1.0,4.0,0.9760402485308799,168,0.9769531807498361
65,0.3,1.0,8.0,0.766745000880955,168,0.7679067957772843
66,0.3,2.0,0.01,0.8808590608873448,66,0.8810140525396488
67,0.3,2.0,0.1,10.048865129222612,66,10.048878716599738
68,0.3,2.0,1.0,1.617820474552881,66,1.6179048684973754
69,0.3,2.0,2.0,0.9558038743178043,66,0.955946714930244
