,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
143,0.3,0.1,1.5,20,,3517,
144,0.3,0.5,0.1,5,1.4859577153986439,17,1.485964453672347
145,0.3,0.5,0.1,10,1.474183614261959,25,1.474197182938379
146,0.3,0.5,0.1,15,1.1734704446457502,28,1.1734922270543997
147,0.3,0.5,0.1,20,2.0723819680868742,39,2.0724056146545315
148,0.3,0.5,0.5,5,1.098518593415774,21,1.0985313787417137
149,0.3,0.5,0.5,10,1.164032458162379,27,1.1640523199820318
150,0.3,0.5,0.5,15,0.44513191814661585,26,0.44518271549767685
151,0.3,0.5,0.5,20,0.6104683410883471,36,0.6105361622960253
152,0.3,0.5,1.0,5,1.571068404024822,42,1.5711038261760746
153,0.3,0.5,1.0,10,2.2879275148186684,68,2.287990857431325
154,0.3,0.5,1.0,15,0.7145688078464912,40,0.7146394780916848
155,0.3,0.5,1.0,20,1.0248886904950274,73,1.0250520561925682
156,0.3,0.5,1.5,5,5.06640915993007,1382,5.078182857659157
157,0.3,0.5,1.5,10,0.39067695636236166,2002,0.6349636105577694
158,0.3,0.5,1.5,15,0.061333112468551956,2250,0.5659581621551898
159,0.3,0.5,1.5,20,0.06309040900761773,2348,0.5905298656365725
160,0.3,1.0,0.1,5,0.727517182626223,12,0.7275236811550515
161,0.3,1.0,0.1,10,0.2622231429862296,16,0.26225480423164155
162,0.3,1.0,0.1,15,0.21448534308805636,18,0.21453306976921122
163,0.3,1.0,0.1,20,0.10020872896447511,19,0.10032243012245881
164,0.3,1.0,0.5,5,0.9750368941611868,11,0.9750413568026195
165,0.3,1.0,0.5,10,0.34079781809944765,13,0.3408145293944262
166,0.3,1.0,0.5,15,1.00724923023271,16,1.0072572722146944
167,0.3,1.0,0.5,20,0.6074116286163583,16,0.6074263224485558
168,0.3,1.0,1.0,5,1.2802791002135498,18,1.2802870967359692
169,0.3,1.0,1.0,10,0.46210280152885597,15,0.46211947027345346
170,0.3,1.0,1.0,15,0.7113270524789564,36,0.7113843027600483
171,0.3,1.0,1.0,20,0.2641414165951007,17,0.264175605347781
172,0.3,1.0,1.5,5,0.07514319920939401,308,0.10767899522387211
173,0.3,1.0,1.5,10,0.2310099310270236,1168,0.37238876709443075
174,0.3,1.0,1.5,15,0.15770897918428348,734,0.24213012563567707
175,0.3,1.0,1.5,20,0.13181358239630275,309,0.1528960304558195
176,0.3,2.0,0.1,5,0.21150023433399504,6,0.21150686690586387
177,0.3,2.0,0.1,10,0.14167595814998352,7,0.14168803625470952
178,0.3,2.0,0.1,15,0.14167595814998352,7,0.14168803625470952
179,0.3,2.0,0.1,20,0.14167595814998352,7,0.14168803625470952
180,0.3,2.0,0.5,5,0.7923406861650835,5,0.7923420590739553
181,0.3,2.0,0.5,10,0.14167595814998352,7,0.14168803625470952
182,0.3,2.0,0.5,15,0.14167595814998352,7,0.14168803625470952
183,0.3,2.0,0.5,20,0.14167595814998352,7,0.14168803625470952
184,0.3,2.0,1.0,5,0.5622222205063592,6,0.5622242214909468
185,0.3,2.0,1.0,10,0.14167595814998352,7,0.14168803625470952
186,0.3,2.0,1.0,15,0.14167595814998352,7,0.14168803625470952
187,0.3,2.0,1.0,20,0.14167595814998352,7,0.14168803625470952
188,0.3,2.0,1.5,5,0.11481574524100262,7,0.11483146500522762
189,0.3,2.0,1.5,10,0.14167595814998352,7,0.14168803625470952
190,0.3,2.0,1.5,15,0.14167595814998352,7,0.14168803625470952
191,0.3,2.0,1.5,20,0.14167595814998352,7,0.14168803625470952
192,0.5,0.1,0.1,5,4.393351529067583,44,4.393365299853913
193,0.5,0.1,0.1,10,7.3953681168205225,83,7.395397367504029
194,0.5,0.1,0.1,15,5.303151581745954,85,5.303194357080892
195,0.5,0.1,0.1,20,1.7575989649002874,97,1.7577676308086236
196,0.5,0.1,0.5,5,2.9154539213696578,134,2.915648974628927
197,0.5,0.1,0.5,10,0.3770491055067469,74,0.3775026860347327
198,0.5,0.1,0.5,15,1.5374892975298975,136,1.5378696238689995
199,0.5,0.1,0.5,20,6.018813849299625,215,6.019055188525934
200,0.5,0.1,1.0,5,3.6106179893005517,98,3.6107026449551007
201,0.5,0.1,1.0,10,3.5861166296964866,236,3.5866035872097277
202,0.5,0.1,1.0,15,2.815211560566881,766,2.8217172751268706
203,0.5,0.1,1.0,20,34.28774644501438,357,34.28786273257049
204,0.5,0.1,1.5,5,,3498,
205,0.5,0.1,1.5,10,,3434,
206,0.5,0.1,1.5,15,,3420,
207,0.5,0.1,1.5,20,0.17521944342952123,3036,0.7791088344100272
208,0.5,0.5,0.1,5,2.1410394228624323,17,2.141043791209348
209,0.5,0.5,0.1,10,4.466589444752923,22,4.466592986673761
210,0.5,0.5,0.1,15,2.5284081637624736,28,2.528417922971937
211,0.5,0.5,0.1,20,4.1149207205653004,35,4.114930345283824
212,0.5,0.5,0.5,5,1.1939897725122113,31,1.1940157421444502
213,0.5,0.5,0.5,10,1.6639025312141729,28,1.6639173609305034
214,0.5,0.5,0.5,15,1.0740364742803918,38,1.07407915383814
215,0.5,0.5,0.5,20,2.9847010909151637,47,2.9847249132432907
216,0.5,0.5,1.0,5,1.0691721655348856,32,1.0692032276674799
217,0.5,0.5,1.0,10,0.9762948051647637,72,0.9764616475272871
218,0.5,0.5,1.0,15,20.32349260963965,77,20.323501773662862
219,0.5,0.5,1.0,20,1.6487871535306386,329,1.650843638347577
220,0.5,0.5,1.5,5,0.1587430978943048,1617,0.4344407107179078
221,0.5,0.5,1.5,10,0.21835573820980814,2045,0.5561347894478013
222,0.5,0.5,1.5,15,0.21899828001614297,2240,0.6014384998900792
223,0.5,0.5,1.5,20,0.3932652974595963,1905,0.6176531954187436
224,0.5,1.0,0.1,5,0.9092569995211918,11,0.9092617042432176
225,0.5,1.0,0.1,10,1.9509949316540212,15,1.9509989302507778
226,0.5,1.0,0.1,15,1.335931316618965,18,1.335938980024268
227,0.5,1.0,0.1,20,0.3861652546659612,18,0.38619325008501465
228,0.5,1.0,0.5,5,2.7324455304290964,11,2.732446990773462
229,0.5,1.0,0.5,10,2.3102354188354015,13,2.3102378115827347
230,0.5,1.0,0.5,15,0.768273594954773,17,0.7682853501172143
231,0.5,1.0,0.5,20,1.4335100199973145,17,1.4335166961210117
232,0.5,1.0,1.0,5,4.829009735685178,22,4.829012896334739
233,0.5,1.0,1.0,10,1.184190975976682,17,1.1841987829687237
234,0.5,1.0,1.0,15,0.5751760435687482,23,0.5752063030734265
235,0.5,1.0,1.0,20,1.0819734396404255,24,1.081991203331771
236,0.5,1.0,1.5,5,0.3781151678647278,312,0.38610179460133476
237,0.5,1.0,1.5,10,0.4755721648327791,1323,0.5793220732793943
238,0.5,1.0,1.5,15,0.5244501073144152,704,0.5532499848053334
239,0.5,1.0,1.5,20,0.4314725986222547,205,0.4345145095239528
240,0.5,2.0,0.1,5,0.6929862336824358,6,0.6929882579801533
241,0.5,2.0,0.1,10,0.41779619797708084,7,0.41780029385353973
242,0.5,2.0,0.1,15,0.41779619797708084,7,0.41780029385353973
243,0.5,2.0,0.1,20,0.41779619797708084,7,0.41780029385353973
244,0.5,2.0,0.5,5,3.863365827712335,5,3.863366109283511
245,0.5,2.0,0.5,10,0.41779619797708084,7,0.41780029385353973
246,0.5,2.0,0.5,15,0.41779619797708084,7,0.41780029385353973
247,0.5,2.0,0.5,20,0.41779619797708084,7,0.41780029385353973
248,0.5,2.0,1.0,5,2.4951687371239775,6,2.495169187995248
249,0.5,2.0,1.0,10,0.41779619797708084,7,0.41780029385353973
250,0.5,2.0,1.0,15,0.41779619797708084,7,0.41780029385353973
251,0.5,2.0,1.0,20,0.41779619797708084,7,0.41780029385353973
252,0.5,2.0,1.5,5,0.29027931619955955,7,0.29028553428182374
253,0.5,2.0,1.5,10,0.41779619797708084,7,0.41780029385353973
254,0.5,2.0,1.5,15,0.41779619797708084,7,0.41780029385353973
255,0.5,2.0,1.5,20,0.41779619797708084,7,0.41780029385353973
256,0.9,0.1,0.1,5,2.1491884677855912,52,2.149229157323057
257,0.9,0.1,0.1,10,5.475350299934503,85,5.4753919247386165
258,0.9,0.1,0.1,15,4.200513800684968,119,4.200620216080582
