,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
76,0.5,0.1,4.0,0.8710904353143245,1230,0.9238219898855511
77,0.5,0.1,8.0,0.6623223295171558,1230,0.7302871973936226
78,0.5,0.5,0.01,0.9150097417372827,309,0.9182669835614959
79,0.5,0.5,0.1,2.721622164230273,309,2.722718977502907
80,0.5,0.5,1.0,1.1056700884512318,309,1.108367163949183
81,0.5,0.5,2.0,1.0659799166098378,309,1.0687771555570025
82,0.5,0.5,4.0,1.2152836808190632,309,1.2177380056851845
83,0.5,0.5,8.0,0.836031218768904,309,0.839594916838602
84,0.5,1.0,0.01,0.8826749545172582,133,0.8833057035687271
85,0.5,1.0,0.1,8.728332254389487,133,8.728396063059975
86,0.5,1.0,1.0,1.6898365997685296,133,1.6901661529394871
87,0.5,1.0,2.0,1.4830632326945328,133,1.4834387222920122
88,0.5,1.0,4.0,1.4591586324069405,133,1.459540271850247
89,0.5,1.0,8.0,1.0426073035290373,133,1.0431413518776302
90,0.5,2.0,0.01,0.8807167981201337,50,0.8808083608203208
91,0.5,2.0,0.1,34.452934226157446,50,34.45293656688688
92,0.5,2.0,1.0,3.068347569112684,50,3.0683738518765464
93,0.5,2.0,2.0,1.8014366131265458,50,1.8014813796186848
94,0.5,2.0,4.0,2.468421929392975,50,2.4684545998474707
95,0.5,2.0,8.0,1.3671258560459876,50,1.3671848434902554
96,0.9,0.1,0.01,0.8926154723030155,1230,0.9441455946487997
97,0.9,0.1,0.1,0.7554389041183993,1230,0.8156815925075226
98,0.9,0.1,1.0,0.8278455693745087,1230,0.8831629573487582
99,0.9,0.1,2.0,1.0708594255466088,1230,1.114176122425002
100,0.9,0.1,4.0,1.3397992092762496,1230,1.3746673938365104
101,0.9,0.1,8.0,0.9341426091821056,1230,0.9834993323788034
102,0.9,0.5,0.01,0.9695808118921733,309,0.9726553225138317
103,0.9,0.5,0.1,5.954444408953327,309,5.954945813770309
104,0.9,0.5,1.0,1.9180515070426367,309,1.9196075143876494
105,0.9,0.5,2.0,1.6599187024867963,309,1.66171643925504
106,0.9,0.5,4.0,1.9251010642889885,309,1.9266513782601138
107,0.9,0.5,8.0,1.1787225917558803,309,1.181252883145984
108,0.9,1.0,0.01,0.8878574117534294,133,0.8884844817049415
109,0.9,1.0,0.1,22.41610472416897,133,22.416129569922088
110,0.9,1.0,1.0,3.110314809018339,133,3.110493867832532
111,0.9,1.0,2.0,2.4311631917036616,133,2.4313922668544734
112,0.9,1.0,4.0,2.357919432265563,133,2.3581556224474576
113,0.9,1.0,8.0,1.4760647739189072,133,1.4764420433695578
114,0.9,2.0,0.01,0.8824204477898856,50,0.8825118337323881
115,0.9,2.0,0.1,90.08416578569208,50,90.08416668091044
116,0.9,2.0,1.0,5.825095039321508,50,5.825108883714368
117,0.9,2.0,2.0,3.38992793937596,50,3.3899517288837226
118,0.9,2.0,4.0,4.221173433725861,50,4.221192538559806
119,0.9,2.0,8.0,1.9556329322342916,50,1.9556741690883206
