,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
376,0.1,2.0,2.0,0.1,2,0.12243753687131467,6,0.12244766661768014
377,0.1,2.0,2.0,0.1,5,0.11576184603500736,6,0.11577255988546142
378,0.1,2.0,2.0,0.1,10,0.11537605034692924,6,0.11538680001914063
379,0.1,2.0,2.0,0.1,20,0.11537605034692924,6,0.11538680001914063
380,0.1,2.0,2.0,1.0,2,0.1870753951068857,6,0.18708202500346577
381,0.1,2.0,2.0,1.0,5,0.131314185936524,6,0.13132363097771854
382,0.1,2.0,2.0,1.0,10,0.11537605034692924,6,0.11538680001914063
383,0.1,2.0,2.0,1.0,20,0.11537605034692924,6,0.11538680001914063
384,0.3,0.1,0.1,0.001,2,0.0695073368018575,203,0.08616626656811152
385,0.3,0.1,0.1,0.001,5,0.06951957956751531,203,0.08617614268603632
386,0.3,0.1,0.1,0.001,10,0.06954824726765185,203,0.08619927101201288
387,0.3,0.1,0.1,0.001,20,0.06969796866559072,203,0.08632011620190085
388,0.3,0.1,0.1,0.1,2,0.0816315280733802,203,0.09621362689658393
389,0.3,0.1,0.1,0.1,5,0.08297728181374017,203,0.09735802443659616
390,0.3,0.1,0.1,0.1,10,0.08103782586478062,203,0.09571042182484887
391,0.3,0.1,0.1,0.1,20,0.09086251390090153,203,0.1041602230095132
392,0.3,0.1,0.1,0.1,2,0.0816315280733802,203,0.09621362689658393
393,0.3,0.1,0.1,0.1,5,0.08297728181374017,203,0.09735802443659616
394,0.3,0.1,0.1,0.1,10,0.08103782586478062,203,0.09571042182484887
395,0.3,0.1,0.1,0.1,20,0.09086251390090153,203,0.1041602230095132
396,0.3,0.1,0.1,1.0,2,0.11597699796520371,203,0.12666498996179198
397,0.3,0.1,0.1,1.0,5,0.15272609535563814,203,0.16099259556755854
398,0.3,0.1,0.1,1.0,10,0.42733657501985023,203,0.4303602025916152
399,0.3,0.1,0.1,1.0,20,1.6750170682574315,203,1.6757910175731103
400,0.3,0.1,1.0,0.001,2,0.09135873783815321,203,0.10459337744035425
401,0.3,0.1,1.0,0.001,5,0.09135872911593218,203,0.1045933698217926
402,0.3,0.1,1.0,0.001,10,0.09135868022363838,203,0.10459332711604988
403,0.3,0.1,1.0,0.001,20,0.09135813213698778,203,0.10459284838151851
404,0.3,0.1,1.0,0.1,2,0.09468848475998932,203,0.10751402127696057
405,0.3,0.1,1.0,0.1,5,0.09468761605283942,203,0.10751325620020041
406,0.3,0.1,1.0,0.1,10,0.09468277863214651,203,0.10750899587710816
407,0.3,0.1,1.0,0.1,20,0.0946291090421947,203,0.10746173227302626
408,0.3,0.1,1.0,0.1,2,0.09468848475998932,203,0.10751402127696057
409,0.3,0.1,1.0,0.1,5,0.09468761605283942,203,0.10751325620020041
410,0.3,0.1,1.0,0.1,10,0.09468277863214651,203,0.10750899587710816
411,0.3,0.1,1.0,0.1,20,0.0946291090421947,203,0.10746173227302626
412,0.3,0.1,1.0,1.0,2,0.12142014303237705,203,0.13166702988600792
413,0.3,0.1,1.0,1.0,5,0.12141207235099863,203,0.13165958733629743
414,0.3,0.1,1.0,1.0,10,0.12136857998132852,203,0.13161948120124217
415,0.3,0.1,1.0,1.0,20,0.1209068169811582,203,0.13119380327406963
416,0.3,0.1,2.0,0.001,2,0.43134686259303023,203,0.43434257389053
417,0.3,0.1,2.0,0.001,5,0.43134686092028585,203,0.4343425722293227
418,0.3,0.1,2.0,0.001,10,0.43134685424633457,203,0.43434256560140244
419,0.3,0.1,2.0,0.001,20,0.4313467987221231,203,0.43434251046014805
420,0.3,0.1,2.0,0.1,2,0.431790876385436,203,0.4347835283847617
421,0.3,0.1,2.0,0.1,5,0.43179070954198523,203,0.434783362689709
422,0.3,0.1,2.0,0.1,10,0.4317900443170683,203,0.43478270204360225
423,0.3,0.1,2.0,0.1,20,0.4317845139208085,203,0.43477720971415795
424,0.3,0.1,2.0,0.1,2,0.431790876385436,203,0.4347835283847617
425,0.3,0.1,2.0,0.1,5,0.43179070954198523,203,0.434783362689709
426,0.3,0.1,2.0,0.1,10,0.4317900443170683,203,0.43478270204360225
427,0.3,0.1,2.0,0.1,20,0.4317845139208085,203,0.43477720971415795
428,0.3,0.1,2.0,1.0,2,0.4357190670489596,203,0.43868492225629974
429,0.3,0.1,2.0,1.0,5,0.43571743602454155,203,0.4386833022589308
430,0.3,0.1,2.0,1.0,10,0.4357109699178169,203,0.43867687986914095
431,0.3,0.1,2.0,1.0,20,0.43565753543135843,203,0.4386238066990041
432,0.3,0.5,0.1,0.001,2,1.4029440695715465,25,1.4029581027140376
433,0.3,0.5,0.1,0.001,5,1.4030729211704114,25,1.4030869530241779
434,0.3,0.5,0.1,0.001,10,1.4035153718808981,25,1.4035293993112419
435,0.3,0.5,0.1,0.001,20,1.4042093155747748,25,1.4042233360729972
436,0.3,0.5,0.1,0.1,2,0.9124124453388938,25,0.9124340228390762
437,0.3,0.5,0.1,0.1,5,0.9600327978529737,25,0.9600533050713427
438,0.3,0.5,0.1,0.1,10,1.0989563381106895,25,1.0989742529734972
439,0.3,0.5,0.1,0.1,20,1.290460548651171,25,1.2904758049843792
440,0.3,0.5,0.1,0.1,2,0.9124124453388938,25,0.9124340228390762
441,0.3,0.5,0.1,0.1,5,0.9600327978529737,25,0.9600533050713427
442,0.3,0.5,0.1,0.1,10,1.0989563381106895,25,1.0989742529734972
443,0.3,0.5,0.1,0.1,20,1.290460548651171,25,1.2904758049843792
444,0.3,0.5,0.1,1.0,2,26.93947197164659,25,26.93947270246315
445,0.3,0.5,0.1,1.0,5,30.77478948891332,25,30.774790128651645
446,0.3,0.5,0.1,1.0,10,46.84530184969741,25,46.84530226997034
447,0.3,0.5,0.1,1.0,20,29.83618255271014,25,29.83618321257379
448,0.3,0.5,1.0,0.001,2,0.2537021156425977,25,0.2537797058602796
449,0.3,0.5,1.0,0.001,5,0.2536776165074367,25,0.2537552142161696
450,0.3,0.5,1.0,0.001,10,0.2534769566609276,25,0.25355461577949195
451,0.3,0.5,1.0,0.001,20,0.25316179975753006,25,0.25323955552297067
452,0.3,0.5,1.0,0.1,2,0.30738925205087236,25,0.30745329385354575
453,0.3,0.5,1.0,0.1,5,0.30581161889942504,25,0.30587599101414803
454,0.3,0.5,1.0,0.1,10,0.29146574266169284,25,0.2915332824401567
455,0.3,0.5,1.0,0.1,20,0.2669827777799691,25,0.2670565094808744
456,0.3,0.5,1.0,0.1,2,0.30738925205087236,25,0.30745329385354575
457,0.3,0.5,1.0,0.1,5,0.30581161889942504,25,0.30587599101414803
458,0.3,0.5,1.0,0.1,10,0.29146574266169284,25,0.2915332824401567
459,0.3,0.5,1.0,0.1,20,0.2669827777799691,25,0.2670565094808744
460,0.3,0.5,1.0,1.0,2,0.5090622707078648,25,0.5091009439033161
461,0.3,0.5,1.0,1.0,5,0.5094343913791869,25,0.5094730363276182
462,0.3,0.5,1.0,1.0,10,0.4592112658396399,25,0.4592541369427655
463,0.3,0.5,1.0,1.0,20,0.3578654248171189,25,0.3579204351591803
464,0.3,0.5,2.0,0.001,2,0.6254683088145598,25,0.6254997849370898
465,0.3,0.5,2.0,0.001,5,0.6254672721516201,25,0.6254987483263167
466,0.3,0.5,2.0,0.001,10,0.6254586094411951,25,0.6254900860518202
467,0.3,0.5,2.0,0.001,20,0.6254419187796063,25,0.62547339623018
468,0.3,0.5,2.0,0.1,2,0.6287942123279608,25,0.6288255219710319
469,0.3,0.5,2.0,0.1,5,0.62869397224544,25,0.6287252868803275
470,0.3,0.5,2.0,0.1,10,0.6278542876798812,25,0.6278856441924843
471,0.3,0.5,2.0,0.1,20,0.6262310220126031,25,0.6262624598009602
472,0.3,0.5,2.0,0.1,2,0.6287942123279608,25,0.6288255219710319
473,0.3,0.5,2.0,0.1,5,0.62869397224544,25,0.6287252868803275
474,0.3,0.5,2.0,0.1,10,0.6278542876798812,25,0.6278856441924843
