,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
114,0.02,60.0004,0.20007999999999998,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
115,0.02,60.0004,0.20007999999999998,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
116,0.02,60.0004,0.20007999999999998,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
117,0.02,60.0004,0.20007999999999998,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
118,0.02,60.0004,0.20007999999999998,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
119,0.02,60.0004,0.20007999999999998,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
120,0.02,60.0004,0.40005999999999997,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
121,0.02,60.0004,0.40005999999999997,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
122,0.02,60.0004,0.40005999999999997,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
123,0.02,60.0004,0.40005999999999997,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
124,0.02,60.0004,0.40005999999999997,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
125,0.02,60.0004,0.40005999999999997,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
126,0.02,60.0004,0.6000399999999999,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
127,0.02,60.0004,0.6000399999999999,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
128,0.02,60.0004,0.6000399999999999,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
129,0.02,60.0004,0.6000399999999999,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
130,0.02,60.0004,0.6000399999999999,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
131,0.02,60.0004,0.6000399999999999,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
132,0.02,60.0004,0.80002,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
133,0.02,60.0004,0.80002,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
134,0.02,60.0004,0.80002,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
135,0.02,60.0004,0.80002,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
136,0.02,60.0004,0.80002,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
137,0.02,60.0004,0.80002,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
138,0.02,60.0004,1.0,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
139,0.02,60.0004,1.0,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
140,0.02,60.0004,1.0,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
141,0.02,60.0004,1.0,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
142,0.02,60.0004,1.0,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
143,0.02,60.0004,1.0,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
144,0.02,80.0002,0.0001,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
145,0.02,80.0002,0.0001,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
146,0.02,80.0002,0.0001,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
147,0.02,80.0002,0.0001,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
148,0.02,80.0002,0.0001,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
149,0.02,80.0002,0.0001,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
150,0.02,80.0002,0.20007999999999998,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
