,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
170,0.02,25.00075,50.0075,1.0,2,,,,
171,0.02,25.00075,50.0075,1.0,6,,,,
172,0.02,25.00075,50.0075,1.0,11,,,,
173,0.02,25.00075,50.0075,1.0,15,,,,
174,0.02,25.00075,50.0075,1.0,20,,,,
175,0.02,25.00075,100.00500000000001,0.0001,2,,,,
176,0.02,25.00075,100.00500000000001,0.0001,6,,,,
177,0.02,25.00075,100.00500000000001,0.0001,11,,,,
178,0.02,25.00075,100.00500000000001,0.0001,15,,,,
179,0.02,25.00075,100.00500000000001,0.0001,20,,,,
180,0.02,25.00075,100.00500000000001,0.250075,2,,,,
181,0.02,25.00075,100.00500000000001,0.250075,6,,,,
182,0.02,25.00075,100.00500000000001,0.250075,11,,,,
183,0.02,25.00075,100.00500000000001,0.250075,15,,,,
184,0.02,25.00075,100.00500000000001,0.250075,20,,,,
185,0.02,25.00075,100.00500000000001,0.50005,2,,,,
186,0.02,25.00075,100.00500000000001,0.50005,6,,,,
187,0.02,25.00075,100.00500000000001,0.50005,11,,,,
188,0.02,25.00075,100.00500000000001,0.50005,15,,,,
189,0.02,25.00075,100.00500000000001,0.50005,20,,,,
190,0.02,25.00075,100.00500000000001,0.7500249999999999,2,,,,
191,0.02,25.00075,100.00500000000001,0.7500249999999999,6,,,,
192,0.02,25.00075,100.00500000000001,0.7500249999999999,11,,,,
193,0.02,25.00075,100.00500000000001,0.7500249999999999,15,,,,
194,0.02,25.00075,100.00500000000001,0.7500249999999999,20,,,,
195,0.02,25.00075,100.00500000000001,1.0,2,,,,
196,0.02,25.00075,100.00500000000001,1.0,6,,,,
197,0.02,25.00075,100.00500000000001,1.0,11,,,,
198,0.02,25.00075,100.00500000000001,1.0,15,,,,
199,0.02,25.00075,100.00500000000001,1.0,20,,,,
200,0.02,25.00075,150.0025,0.0001,2,,,,
201,0.02,25.00075,150.0025,0.0001,6,,,,
202,0.02,25.00075,150.0025,0.0001,11,,,,
203,0.02,25.00075,150.0025,0.0001,15,,,,
204,0.02,25.00075,150.0025,0.0001,20,,,,
205,0.02,25.00075,150.0025,0.250075,2,,,,
206,0.02,25.00075,150.0025,0.250075,6,,,,
207,0.02,25.00075,150.0025,0.250075,11,,,,
208,0.02,25.00075,150.0025,0.250075,15,,,,
209,0.02,25.00075,150.0025,0.250075,20,,,,
210,0.02,25.00075,150.0025,0.50005,2,,,,
211,0.02,25.00075,150.0025,0.50005,6,,,,
212,0.02,25.00075,150.0025,0.50005,11,,,,
213,0.02,25.00075,150.0025,0.50005,15,,,,
214,0.02,25.00075,150.0025,0.50005,20,,,,
215,0.02,25.00075,150.0025,0.7500249999999999,2,,,,
216,0.02,25.00075,150.0025,0.7500249999999999,6,,,,
217,0.02,25.00075,150.0025,0.7500249999999999,11,,,,
218,0.02,25.00075,150.0025,0.7500249999999999,15,,,,
219,0.02,25.00075,150.0025,0.7500249999999999,20,,,,
220,0.02,25.00075,150.0025,1.0,2,,,,
221,0.02,25.00075,150.0025,1.0,6,,,,
222,0.02,25.00075,150.0025,1.0,11,,,,
223,0.02,25.00075,150.0025,1.0,15,,,,
224,0.02,25.00075,150.0025,1.0,20,,,,
225,0.02,25.00075,200.0,0.0001,2,,,,
226,0.02,25.00075,200.0,0.0001,6,,,,
227,0.02,25.00075,200.0,0.0001,11,,,,
228,0.02,25.00075,200.0,0.0001,15,,,,
229,0.02,25.00075,200.0,0.0001,20,,,,
230,0.02,25.00075,200.0,0.250075,2,,,,
231,0.02,25.00075,200.0,0.250075,6,,,,
232,0.02,25.00075,200.0,0.250075,11,,,,
233,0.02,25.00075,200.0,0.250075,15,,,,
234,0.02,25.00075,200.0,0.250075,20,,,,
235,0.02,25.00075,200.0,0.50005,2,,,,
236,0.02,25.00075,200.0,0.50005,6,,,,
237,0.02,25.00075,200.0,0.50005,11,,,,
238,0.02,25.00075,200.0,0.50005,15,,,,
239,0.02,25.00075,200.0,0.50005,20,,,,
240,0.02,25.00075,200.0,0.7500249999999999,2,,,,
241,0.02,25.00075,200.0,0.7500249999999999,6,,,,
242,0.02,25.00075,200.0,0.7500249999999999,11,,,,
243,0.02,25.00075,200.0,0.7500249999999999,15,,,,
244,0.02,25.00075,200.0,0.7500249999999999,20,,,,
245,0.02,25.00075,200.0,1.0,2,,,,
246,0.02,25.00075,200.0,1.0,6,,,,
247,0.02,25.00075,200.0,1.0,11,,,,
248,0.02,25.00075,200.0,1.0,15,,,,
249,0.02,25.00075,200.0,1.0,20,,,,
250,0.02,50.000499999999995,0.01,0.0001,2,,,,
251,0.02,50.000499999999995,0.01,0.0001,6,,,,
252,0.02,50.000499999999995,0.01,0.0001,11,,,,
253,0.02,50.000499999999995,0.01,0.0001,15,,,,
254,0.02,50.000499999999995,0.01,0.0001,20,,,,
255,0.02,50.000499999999995,0.01,0.250075,2,,,,
256,0.02,50.000499999999995,0.01,0.250075,6,,,,
257,0.02,50.000499999999995,0.01,0.250075,11,,,,
258,0.02,50.000499999999995,0.01,0.250075,15,,,,
259,0.02,50.000499999999995,0.01,0.250075,20,,,,
260,0.02,50.000499999999995,0.01,0.50005,2,,,,
261,0.02,50.000499999999995,0.01,0.50005,6,,,,
262,0.02,50.000499999999995,0.01,0.50005,11,,,,
263,0.02,50.000499999999995,0.01,0.50005,15,,,,
264,0.02,50.000499999999995,0.01,0.50005,20,,,,
265,0.02,50.000499999999995,0.01,0.7500249999999999,2,,,,
266,0.02,50.000499999999995,0.01,0.7500249999999999,6,,,,
267,0.02,50.000499999999995,0.01,0.7500249999999999,11,,,,
268,0.02,50.000499999999995,0.01,0.7500249999999999,15,,,,
269,0.02,50.000499999999995,0.01,0.7500249999999999,20,,,,
270,0.02,50.000499999999995,0.01,1.0,2,,,,
271,0.02,50.000499999999995,0.01,1.0,6,,,,
272,0.02,50.000499999999995,0.01,1.0,11,,,,
273,0.02,50.000499999999995,0.01,1.0,15,,,,
274,0.02,50.000499999999995,0.01,1.0,20,,,,
275,0.02,50.000499999999995,50.0075,0.0001,2,,,,
276,0.02,50.000499999999995,50.0075,0.0001,6,,,,
277,0.02,50.000499999999995,50.0075,0.0001,11,,,,
278,0.02,50.000499999999995,50.0075,0.0001,15,,,,
279,0.02,50.000499999999995,50.0075,0.0001,20,,,,
280,0.02,50.000499999999995,50.0075,0.250075,2,,,,
281,0.02,50.000499999999995,50.0075,0.250075,6,,,,
282,0.02,50.000499999999995,50.0075,0.250075,11,,,,
283,0.02,50.000499999999995,50.0075,0.250075,15,,,,
284,0.02,50.000499999999995,50.0075,0.250075,20,,,,
285,0.02,50.000499999999995,50.0075,0.50005,2,,,,
286,0.02,50.000499999999995,50.0075,0.50005,6,,,,
287,0.02,50.000499999999995,50.0075,0.50005,11,,,,
288,0.02,50.000499999999995,50.0075,0.50005,15,,,,
289,0.02,50.000499999999995,50.0075,0.50005,20,,,,
