,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
2613,0.9,0.001,200.0,0.50005,15,-0.35225565360109456,7.143214873922063,335,335.07614883595494
2614,0.9,0.001,200.0,0.50005,20,-0.3522556535871737,7.143214873848526,335,335.07614883595335
2615,0.9,0.001,200.0,0.7500249999999999,2,-0.3522556409047364,7.14321480685426,335,335.07614883452516
2616,0.9,0.001,200.0,0.7500249999999999,6,-0.352255640905353,7.143214806857518,335,335.07614883452527
2617,0.9,0.001,200.0,0.7500249999999999,11,-0.35225564090356554,7.143214806848076,335,335.07614883452504
2618,0.9,0.001,200.0,0.7500249999999999,15,-0.3522556409055313,7.1432148068584596,335,335.07614883452527
2619,0.9,0.001,200.0,0.7500249999999999,20,-0.35225564088465533,7.143214806748183,335,335.0761488345229
2620,0.9,0.001,200.0,1.0,2,-0.35225562820887246,7.143214739789069,335,335.0761488330955
2621,0.9,0.001,200.0,1.0,6,-0.3522556282097107,7.143214739793497,335,335.07614883309554
2622,0.9,0.001,200.0,1.0,11,-0.35225562820734857,7.14321473978102,335,335.0761488330953
2623,0.9,0.001,200.0,1.0,15,-0.35225562820992473,7.143214739794628,335,335.0761488330956
2624,0.9,0.001,200.0,1.0,20,-0.3522556281820901,7.1432147396475925,335,335.0761488330925
2625,0.9,25.00075,0.01,0.0001,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2626,0.9,25.00075,0.01,0.0001,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2627,0.9,25.00075,0.01,0.0001,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2628,0.9,25.00075,0.01,0.0001,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2629,0.9,25.00075,0.01,0.0001,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2630,0.9,25.00075,0.01,0.250075,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2631,0.9,25.00075,0.01,0.250075,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2632,0.9,25.00075,0.01,0.250075,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2633,0.9,25.00075,0.01,0.250075,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2634,0.9,25.00075,0.01,0.250075,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2635,0.9,25.00075,0.01,0.50005,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2636,0.9,25.00075,0.01,0.50005,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2637,0.9,25.00075,0.01,0.50005,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2638,0.9,25.00075,0.01,0.50005,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2639,0.9,25.00075,0.01,0.50005,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2640,0.9,25.00075,0.01,0.7500249999999999,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2641,0.9,25.00075,0.01,0.7500249999999999,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2642,0.9,25.00075,0.01,0.7500249999999999,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2643,0.9,25.00075,0.01,0.7500249999999999,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2644,0.9,25.00075,0.01,0.7500249999999999,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2645,0.9,25.00075,0.01,1.0,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2646,0.9,25.00075,0.01,1.0,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2647,0.9,25.00075,0.01,1.0,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2648,0.9,25.00075,0.01,1.0,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2649,0.9,25.00075,0.01,1.0,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2650,0.9,25.00075,50.0075,0.0001,2,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2651,0.9,25.00075,50.0075,0.0001,6,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2652,0.9,25.00075,50.0075,0.0001,11,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2653,0.9,25.00075,50.0075,0.0001,15,-0.39590448165894454,7.373787367356856,1,7.441286188488624
