,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
219,0.216,0.001,0.0001,12,-0.12921024159235617,5.969693384066486,162.0,162.10995416414062
220,0.216,0.001,0.0001,16,-0.12734061723465318,5.959809410517743,161.0,161.11027070987652
221,0.216,0.001,0.0001,20,-0.12479889161460123,5.94637230017349,161.0,161.10977420235022
222,0.216,0.001,0.20007999999999998,2,,,,
223,0.216,0.001,0.20007999999999998,5,,,,
224,0.216,0.001,0.20007999999999998,9,,,,
225,0.216,0.001,0.20007999999999998,12,,,,
226,0.216,0.001,0.20007999999999998,16,,,,
227,0.216,0.001,0.20007999999999998,20,,,,
228,0.216,0.001,0.40005999999999997,2,,,,
229,0.216,0.001,0.40005999999999997,5,,,,
230,0.216,0.001,0.40005999999999997,9,,,,
231,0.216,0.001,0.40005999999999997,12,,,,
232,0.216,0.001,0.40005999999999997,16,,,,
233,0.216,0.001,0.40005999999999997,20,,,,
234,0.216,0.001,0.6000399999999999,2,,,,
235,0.216,0.001,0.6000399999999999,5,,,,
236,0.216,0.001,0.6000399999999999,9,,,,
237,0.216,0.001,0.6000399999999999,12,,,,
238,0.216,0.001,0.6000399999999999,16,,,,
239,0.216,0.001,0.6000399999999999,20,,,,
240,0.216,0.001,0.80002,2,,,,
241,0.216,0.001,0.80002,5,,,,
242,0.216,0.001,0.80002,9,,,,
243,0.216,0.001,0.80002,12,,,,
244,0.216,0.001,0.80002,16,,,,
245,0.216,0.001,0.80002,20,,,,
246,0.216,0.001,1.0,2,,,,
247,0.216,0.001,1.0,5,,,,
248,0.216,0.001,1.0,9,,,,
249,0.216,0.001,1.0,12,,,,
250,0.216,0.001,1.0,16,,,,
251,0.216,0.001,1.0,20,,,,
252,0.216,20.0008,0.0001,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
253,0.216,20.0008,0.0001,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
254,0.216,20.0008,0.0001,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
255,0.216,20.0008,0.0001,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
256,0.216,20.0008,0.0001,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
257,0.216,20.0008,0.0001,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
258,0.216,20.0008,0.20007999999999998,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
259,0.216,20.0008,0.20007999999999998,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
260,0.216,20.0008,0.20007999999999998,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
261,0.216,20.0008,0.20007999999999998,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
262,0.216,20.0008,0.20007999999999998,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
263,0.216,20.0008,0.20007999999999998,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
264,0.216,20.0008,0.40005999999999997,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
265,0.216,20.0008,0.40005999999999997,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
266,0.216,20.0008,0.40005999999999997,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
267,0.216,20.0008,0.40005999999999997,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
268,0.216,20.0008,0.40005999999999997,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
269,0.216,20.0008,0.40005999999999997,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
270,0.216,20.0008,0.6000399999999999,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
271,0.216,20.0008,0.6000399999999999,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
272,0.216,20.0008,0.6000399999999999,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
273,0.216,20.0008,0.6000399999999999,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
274,0.216,20.0008,0.6000399999999999,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
