,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
185,0.02,100.0,0.0001,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
186,0.02,100.0,0.20007999999999998,2,,,,
187,0.02,100.0,0.20007999999999998,5,,,,
188,0.02,100.0,0.20007999999999998,9,,,,
189,0.02,100.0,0.20007999999999998,12,,,,
190,0.02,100.0,0.20007999999999998,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
191,0.02,100.0,0.20007999999999998,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
192,0.02,100.0,0.40005999999999997,2,,,,
193,0.02,100.0,0.40005999999999997,5,,,,
194,0.02,100.0,0.40005999999999997,9,,,,
195,0.02,100.0,0.40005999999999997,12,,,,
196,0.02,100.0,0.40005999999999997,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
197,0.02,100.0,0.40005999999999997,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
198,0.02,100.0,0.6000399999999999,2,,,,
199,0.02,100.0,0.6000399999999999,5,,,,
200,0.02,100.0,0.6000399999999999,9,,,,
201,0.02,100.0,0.6000399999999999,12,,,,
202,0.02,100.0,0.6000399999999999,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
203,0.02,100.0,0.6000399999999999,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
204,0.02,100.0,0.80002,2,,,,
205,0.02,100.0,0.80002,5,,,,
206,0.02,100.0,0.80002,9,,,,
207,0.02,100.0,0.80002,12,,,,
208,0.02,100.0,0.80002,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
209,0.02,100.0,0.80002,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
210,0.02,100.0,1.0,2,,,,
211,0.02,100.0,1.0,5,,,,
212,0.02,100.0,1.0,9,,,,
213,0.02,100.0,1.0,12,,,,
214,0.02,100.0,1.0,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
215,0.02,100.0,1.0,20,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
216,0.216,0.001,0.0001,2,0.016610705072580667,6904635.551091078,1961.0,6904635.82956493
217,0.216,0.001,0.0001,5,0.151569624214701,5957053.392273407,1961.0,5957053.715043797
218,0.216,0.001,0.0001,9,0.8422367800370003,1107697.1681815255,1951.0,1107698.8863397718
219,0.216,0.001,0.0001,12,0.8708771634091456,906605.4842998262,1942.0,906607.5642341191
220,0.216,0.001,0.0001,16,0.7736502092132675,1589261.5676312097,1880.0,1589262.6795937826
221,0.216,0.001,0.0001,20,0.7739386945488994,1587236.0360186053,1922.0,1587237.199702696
222,0.216,0.001,0.20007999999999998,2,0.21476817612492982,5513319.694390265,1940.0,5513320.035709116
223,0.216,0.001,0.20007999999999998,5,,,,
224,0.216,0.001,0.20007999999999998,9,,,,
225,0.216,0.001,0.20007999999999998,12,,,,
226,0.216,0.001,0.20007999999999998,16,,,,
227,0.216,0.001,0.20007999999999998,20,,,,
228,0.216,0.001,0.40005999999999997,2,,,,
229,0.216,0.001,0.40005999999999997,5,,,,
230,0.216,0.001,0.40005999999999997,9,,,,
231,0.216,0.001,0.40005999999999997,12,,,,
232,0.216,0.001,0.40005999999999997,16,,,,
233,0.216,0.001,0.40005999999999997,20,,,,
234,0.216,0.001,0.6000399999999999,2,,,,
235,0.216,0.001,0.6000399999999999,5,,,,
236,0.216,0.001,0.6000399999999999,9,,,,
237,0.216,0.001,0.6000399999999999,12,,,,
238,0.216,0.001,0.6000399999999999,16,,,,
239,0.216,0.001,0.6000399999999999,20,,,,
240,0.216,0.001,0.80002,2,,,,
241,0.216,0.001,0.80002,5,,,,
242,0.216,0.001,0.80002,9,,,,
243,0.216,0.001,0.80002,12,,,,
244,0.216,0.001,0.80002,16,,,,
245,0.216,0.001,0.80002,20,,,,
246,0.216,0.001,1.0,2,,,,
247,0.216,0.001,1.0,5,,,,
248,0.216,0.001,1.0,9,,,,
249,0.216,0.001,1.0,12,,,,
250,0.216,0.001,1.0,16,,,,
251,0.216,0.001,1.0,20,,,,
252,0.216,20.0008,0.0001,2,,,,
253,0.216,20.0008,0.0001,5,,,,
254,0.216,20.0008,0.0001,9,,,,
255,0.216,20.0008,0.0001,12,,,,
256,0.216,20.0008,0.0001,16,,,,
257,0.216,20.0008,0.0001,20,,,,
258,0.216,20.0008,0.20007999999999998,2,,,,
259,0.216,20.0008,0.20007999999999998,5,-0.3447038979982835,9441520.65484399,9.0,9441520.65484828
260,0.216,20.0008,0.20007999999999998,9,,,,
261,0.216,20.0008,0.20007999999999998,12,,,,
262,0.216,20.0008,0.20007999999999998,16,,,,
263,0.216,20.0008,0.20007999999999998,20,,,,
264,0.216,20.0008,0.40005999999999997,2,,,,
265,0.216,20.0008,0.40005999999999997,5,,,,
266,0.216,20.0008,0.40005999999999997,9,,,,
267,0.216,20.0008,0.40005999999999997,12,,,,
268,0.216,20.0008,0.40005999999999997,16,,,,
269,0.216,20.0008,0.40005999999999997,20,,,,
270,0.216,20.0008,0.6000399999999999,2,,,,
271,0.216,20.0008,0.6000399999999999,5,,,,
272,0.216,20.0008,0.6000399999999999,9,,,,
273,0.216,20.0008,0.6000399999999999,12,,,,
274,0.216,20.0008,0.6000399999999999,16,,,,
275,0.216,20.0008,0.6000399999999999,20,,,,
276,0.216,20.0008,0.80002,2,,,,
277,0.216,20.0008,0.80002,5,,,,
278,0.216,20.0008,0.80002,9,,,,
279,0.216,20.0008,0.80002,12,,,,
280,0.216,20.0008,0.80002,16,,,,
281,0.216,20.0008,0.80002,20,,,,
282,0.216,20.0008,1.0,2,,,,
283,0.216,20.0008,1.0,5,,,,
284,0.216,20.0008,1.0,9,,,,
285,0.216,20.0008,1.0,12,,,,
286,0.216,20.0008,1.0,16,,,,
287,0.216,20.0008,1.0,20,,,,
288,0.216,40.0006,0.0001,2,,,,
289,0.216,40.0006,0.0001,5,,,,
290,0.216,40.0006,0.0001,9,,,,
291,0.216,40.0006,0.0001,12,,,,
292,0.216,40.0006,0.0001,16,,,,
293,0.216,40.0006,0.0001,20,,,,
294,0.216,40.0006,0.20007999999999998,2,,,,
295,0.216,40.0006,0.20007999999999998,5,,,,
296,0.216,40.0006,0.20007999999999998,9,,,,
297,0.216,40.0006,0.20007999999999998,12,,,,
298,0.216,40.0006,0.20007999999999998,16,,,,
299,0.216,40.0006,0.20007999999999998,20,,,,
300,0.216,40.0006,0.40005999999999997,2,,,,
301,0.216,40.0006,0.40005999999999997,5,,,,
302,0.216,40.0006,0.40005999999999997,9,,,,
303,0.216,40.0006,0.40005999999999997,12,,,,
304,0.216,40.0006,0.40005999999999997,16,,,,
305,0.216,40.0006,0.40005999999999997,20,,,,
306,0.216,40.0006,0.6000399999999999,2,,,,
307,0.216,40.0006,0.6000399999999999,5,,,,
308,0.216,40.0006,0.6000399999999999,9,,,,
309,0.216,40.0006,0.6000399999999999,12,,,,
310,0.216,40.0006,0.6000399999999999,16,,,,
311,0.216,40.0006,0.6000399999999999,20,,,,
312,0.216,40.0006,0.80002,2,,,,
313,0.216,40.0006,0.80002,5,,,,
314,0.216,40.0006,0.80002,9,,,,
315,0.216,40.0006,0.80002,12,,,,
316,0.216,40.0006,0.80002,16,,,,
317,0.216,40.0006,0.80002,20,,,,
318,0.216,40.0006,1.0,2,,,,
319,0.216,40.0006,1.0,5,,,,
320,0.216,40.0006,1.0,9,,,,
321,0.216,40.0006,1.0,12,,,,
322,0.216,40.0006,1.0,16,,,,
323,0.216,40.0006,1.0,20,,,,
324,0.216,60.0004,0.0001,2,,,,
325,0.216,60.0004,0.0001,5,,,,
326,0.216,60.0004,0.0001,9,,,,
327,0.216,60.0004,0.0001,12,,,,
328,0.216,60.0004,0.0001,16,,,,
329,0.216,60.0004,0.0001,20,,,,
330,0.216,60.0004,0.20007999999999998,2,,,,
331,0.216,60.0004,0.20007999999999998,5,,,,
332,0.216,60.0004,0.20007999999999998,9,,,,
333,0.216,60.0004,0.20007999999999998,12,,,,
334,0.216,60.0004,0.20007999999999998,16,,,,
335,0.216,60.0004,0.20007999999999998,20,,,,
336,0.216,60.0004,0.40005999999999997,2,,,,
337,0.216,60.0004,0.40005999999999997,5,,,,
338,0.216,60.0004,0.40005999999999997,9,,,,
339,0.216,60.0004,0.40005999999999997,12,,,,
340,0.216,60.0004,0.40005999999999997,16,,,,
341,0.216,60.0004,0.40005999999999997,20,,,,
342,0.216,60.0004,0.6000399999999999,2,,,,
343,0.216,60.0004,0.6000399999999999,5,,,,
344,0.216,60.0004,0.6000399999999999,9,,,,
345,0.216,60.0004,0.6000399999999999,12,,,,
346,0.216,60.0004,0.6000399999999999,16,,,,
347,0.216,60.0004,0.6000399999999999,20,,,,
348,0.216,60.0004,0.80002,2,,,,
349,0.216,60.0004,0.80002,5,,,,
350,0.216,60.0004,0.80002,9,,,,
351,0.216,60.0004,0.80002,12,,,,
352,0.216,60.0004,0.80002,16,,,,
353,0.216,60.0004,0.80002,20,,,,
354,0.216,60.0004,1.0,2,,,,
355,0.216,60.0004,1.0,5,,,,
356,0.216,60.0004,1.0,9,,,,
357,0.216,60.0004,1.0,12,,,,
358,0.216,60.0004,1.0,16,,,,
359,0.216,60.0004,1.0,20,,,,
360,0.216,80.0002,0.0001,2,,,,
361,0.216,80.0002,0.0001,5,,,,
362,0.216,80.0002,0.0001,9,,,,
363,0.216,80.0002,0.0001,12,,,,
364,0.216,80.0002,0.0001,16,,,,
365,0.216,80.0002,0.0001,20,,,,
366,0.216,80.0002,0.20007999999999998,2,,,,
367,0.216,80.0002,0.20007999999999998,5,,,,
368,0.216,80.0002,0.20007999999999998,9,,,,
369,0.216,80.0002,0.20007999999999998,12,,,,
370,0.216,80.0002,0.20007999999999998,16,,,,
371,0.216,80.0002,0.20007999999999998,20,,,,
372,0.216,80.0002,0.40005999999999997,2,,,,
373,0.216,80.0002,0.40005999999999997,5,,,,
374,0.216,80.0002,0.40005999999999997,9,,,,
375,0.216,80.0002,0.40005999999999997,12,,,,
376,0.216,80.0002,0.40005999999999997,16,,,,
